;edge_gpu_cw_r_soa_1;edge_gpu_cw_r_soa_2;edge_gpu_cw_r_soa_4;edge_gpu_cw_r_soa_8;edge_gpu_cw_r_soa_16;edge_gpu_cw_r_soa_24;edge_gpu_cw_r_soa_32
ssoln;0.125000;0.234800;0.455400;0.895300;1.764800;2.639200;3.566400
iter;3.394300;4.082900;6.321300;16.430600;60.970800;127.420900;0.014100
rms;0.153300;0.205100;0.312300;0.569100;1.200100;1.593100;2.080100
total;3.672892;4.523190;7.089335;17.895436;63.936217;131.653639;5.661087

;edge_gpu_cw_soa_1;edge_gpu_cw_soa_2;edge_gpu_cw_soa_4;edge_gpu_cw_soa_8;edge_gpu_cw_soa_16;edge_gpu_cw_soa_24;edge_gpu_cw_soa_32
ssoln;0.124000;0.236400;0.455400;0.894600;1.765300;2.639400;3.582400
iter;3.064900;3.732000;5.752500;13.026500;44.508000;91.997200;0.014000
rms;0.134400;0.220000;0.316200;0.575300;1.184600;1.874600;2.183900
total;3.323628;4.188742;6.524486;14.496853;47.458214;96.511609;5.780584

;edge_gpu_soa_1;edge_gpu_soa_2;edge_gpu_soa_4;edge_gpu_soa_8;edge_gpu_soa_16;edge_gpu_soa_24;edge_gpu_soa_32
ssoln;0.127000;0.235800;0.454300;0.894100;1.766900;2.640400;3.521700
iter;2.460100;3.546700;6.311600;12.195800;24.051900;35.919800;47.805300
rms;0.148400;0.207800;0.334200;0.554200;1.160600;1.564700;2.127900
total;2.735769;3.990687;7.100555;13.644332;26.979889;40.125222;53.455371

;edge_omp_1;edge_omp_2;edge_omp_4;edge_omp_8;edge_omp_16;edge_omp_24;edge_omp_32
ssoln;0.188500;0.566300;1.504900;3.299900;5.687100;8.408700;11.969800
iter;6.127400;9.326800;11.527300;16.825100;27.230200;38.070600;52.499900
rms;0.036300;0.040200;0.048900;0.063400;0.081500;0.104300;0.129800
total;6.353462;9.934278;13.081874;20.189186;32.999664;46.584991;64.602693

;edge_omp_soa_1;edge_omp_soa_2;edge_omp_soa_4;edge_omp_soa_8;edge_omp_soa_16;edge_omp_soa_24;edge_omp_soa_32
ssoln;0.242500;1.107200;2.199000;4.504400;8.959600;12.692100;16.297700
iter;5.825700;11.121100;14.552700;21.858900;40.017500;74.881700;93.066500
rms;0.037100;0.044800;0.056200;0.073500;0.103800;0.184800;0.215300
total;6.106318;12.273918;16.809196;26.438206;49.082393;87.760611;109.581443
